"","Section","Latitude","Longitude","Date","Depth_cm","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code","SantaAnaSucker","ArroyoChub","Yellowbullhead","WesternMisquitofish"
"41","Rialto Drain","34.04506","-117.35378","9/12/2015",12,0.01,NA,NA,"34.04506_-117.35378",0,0,0,0
"42","Rialto Drain","34.04506","-117.35378","9/12/2015",30,0.09,NA,NA,"34.04506_-117.35378",0,0,0,0
"43","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.13,NA,NA,"34.04506_-117.35378",0,0,0,0
"44","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.18,NA,NA,"34.04506_-117.35378",0,0,0,0
"45","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.14,NA,NA,"34.04506_-117.35378",0,0,0,0
"46","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.12,NA,NA,"34.04506_-117.35378",0,0,0,0
"47","Rialto Drain","34.04506","-117.35378","9/12/2015",35,0.19,NA,NA,"34.04506_-117.35378",0,0,0,0
"48","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.17,NA,NA,"34.04506_-117.35378",0,0,0,0
"49","Rialto Drain","34.04506","-117.35378","9/12/2015",33,0.14,NA,NA,"34.04506_-117.35378",0,0,0,0
"50","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.12,NA,NA,"34.04506_-117.35378",0,0,0,0
"51","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.08,NA,NA,"34.04506_-117.35378",0,0,0,0
"52","Rialto Drain","34.04506","-117.35378","9/12/2015",31,0.16,NA,NA,"34.04506_-117.35378",0,0,0,0
"53","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.17,NA,NA,"34.04506_-117.35378",0,0,0,0
"54","Rialto Drain","34.04506","-117.35378","9/12/2015",35,0.22,NA,NA,"34.04506_-117.35378",0,0,0,0
"55","Rialto Drain","34.04506","-117.35378","9/12/2015",40,0.25,NA,NA,"34.04506_-117.35378",0,0,0,0
"56","Rialto Drain","34.04506","-117.35378","9/12/2015",37,0.19,NA,NA,"34.04506_-117.35378",0,0,0,0
"57","Rialto Drain","34.04506","-117.35378","9/12/2015",31,0.15,NA,NA,"34.04506_-117.35378",0,0,0,0
"58","Rialto Drain","34.04506","-117.35378","9/12/2015",36,0.11,NA,NA,"34.04506_-117.35378",0,0,0,0
"59","Rialto Drain","34.04506","-117.35378","9/12/2015",38,0.04,NA,NA,"34.04506_-117.35378",0,0,0,0
"60","Rialto Drain","34.04506","-117.35378","9/12/2015",10,0,NA,NA,"34.04506_-117.35378",0,0,0,0
"61","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",1,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"62","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.52,NA,NA,"34.02306_-117.36553",0,0,0,0
"63","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",6,0.3,NA,NA,"34.02306_-117.36553",0,0,0,0
"64","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",4,0.04,NA,NA,"34.02306_-117.36553",0,0,0,0
"65","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.5,NA,NA,"34.02306_-117.36553",0,0,0,0
"66","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.34,NA,NA,"34.02306_-117.36553",0,0,0,0
"67","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",8,0.43,NA,NA,"34.02306_-117.36553",0,0,0,0
"68","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.67,NA,NA,"34.02306_-117.36553",0,0,0,0
"69","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.74,NA,NA,"34.02306_-117.36553",0,0,0,0
"70","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",25,0.65,NA,NA,"34.02306_-117.36553",0,0,0,0
"71","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",9,0.44,NA,NA,"34.02306_-117.36553",0,0,0,0
"72","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",2,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"73","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",11,0.43,NA,NA,"34.02306_-117.36553",0,0,0,0
"74","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",9,0.58,NA,NA,"34.02306_-117.36553",0,0,0,0
"75","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.55,NA,NA,"34.02306_-117.36553",0,0,0,0
"76","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.57,NA,NA,"34.02306_-117.36553",0,0,0,0
"77","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",14,0.67,NA,NA,"34.02306_-117.36553",0,0,0,0
"78","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",13,0.76,NA,NA,"34.02306_-117.36553",0,0,0,0
"79","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.65,NA,NA,"34.02306_-117.36553",0,0,0,0
"80","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",4,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"81","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.16,NA,NA,"34.02306_-117.36553",0,0,0,0
"82","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",9,0.4,NA,NA,"34.02306_-117.36553",0,0,0,0
"83","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.48,NA,NA,"34.02306_-117.36553",0,0,0,0
"84","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",13,0.58,NA,NA,"34.02306_-117.36553",0,0,0,0
"85","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",17,0.48,NA,NA,"34.02306_-117.36553",0,0,0,0
"86","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",11,0.59,NA,NA,"34.02306_-117.36553",0,0,0,0
"87","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.53,NA,NA,"34.02306_-117.36553",0,0,0,0
"88","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",11,0.65,NA,NA,"34.02306_-117.36553",0,0,0,0
"89","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.55,NA,NA,"34.02306_-117.36553",0,0,0,0
"90","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.4,NA,NA,"34.02306_-117.36553",0,0,0,0
"91","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",7,0.28,NA,NA,"34.02306_-117.36553",0,0,0,0
"92","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.6,NA,NA,"34.02306_-117.36553",0,0,0,0
"93","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",20,0.41,NA,NA,"34.02306_-117.36553",0,0,0,0
"94","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",22,0.59,NA,NA,"34.02306_-117.36553",0,0,0,0
"95","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.58,NA,NA,"34.02306_-117.36553",0,0,0,0
"96","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.61,NA,NA,"34.02306_-117.36553",0,0,0,0
"97","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.49,NA,NA,"34.02306_-117.36553",0,0,0,0
"98","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",18,0.63,NA,NA,"34.02306_-117.36553",0,0,0,0
"99","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",15,0.53,NA,NA,"34.02306_-117.36553",0,0,0,0
"100","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",8,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"101","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",18,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"102","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",22,0.76,NA,NA,"34.02306_-117.36553",0,0,0,0
"103","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",18,0.6,NA,NA,"34.02306_-117.36553",0,0,0,0
"104","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",25,0.58,NA,NA,"34.02306_-117.36553",0,0,0,0
"105","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",15,0.67,NA,NA,"34.02306_-117.36553",0,0,0,0
"106","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.49,NA,NA,"34.02306_-117.36553",0,0,0,0
"107","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.56,NA,NA,"34.02306_-117.36553",0,0,0,0
"108","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",8,0.41,NA,NA,"34.02306_-117.36553",0,0,0,0
"109","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",8,0.39,NA,NA,"34.02306_-117.36553",0,0,0,0
"110","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.5,NA,NA,"34.02306_-117.36553",0,0,0,0
"111","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",21,0.21,NA,NA,"34.02306_-117.36553",0,0,0,0
"112","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",15,0.64,NA,NA,"34.02306_-117.36553",0,0,0,0
"113","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",16,0.69,NA,NA,"34.02306_-117.36553",0,0,0,0
"114","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",13,0.67,NA,NA,"34.02306_-117.36553",0,0,0,0
"115","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",12,0.66,NA,NA,"34.02306_-117.36553",0,0,0,0
"116","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",8,0.66,NA,NA,"34.02306_-117.36553",0,0,0,0
"117","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.51,NA,NA,"34.02306_-117.36553",0,0,0,0
"118","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.43,NA,NA,"34.02306_-117.36553",0,0,0,0
"119","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",10,0.43,NA,NA,"34.02306_-117.36553",0,0,0,0
"120","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02306","-117.36553","9/19/2015",6,0,NA,NA,"34.02306_-117.36553",0,0,0,0
"121","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",6,0.1,NA,NA,"34.02225_-117.36592",0,0,0,0
"122","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",11,0.05,NA,NA,"34.02225_-117.36592",0,0,0,0
"123","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.35,NA,NA,"34.02225_-117.36592",0,0,0,0
"124","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",15,0.68,NA,NA,"34.02225_-117.36592",0,0,0,0
"125","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",19,0.66,NA,NA,"34.02225_-117.36592",0,0,0,0
"126","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.54,NA,NA,"34.02225_-117.36592",0,0,0,0
"127","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.71,NA,NA,"34.02225_-117.36592",0,0,0,0
"128","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.65,NA,NA,"34.02225_-117.36592",0,0,0,0
"129","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",17,0.78,NA,NA,"34.02225_-117.36592",0,0,0,0
"130","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",24,0.73,NA,NA,"34.02225_-117.36592",0,0,0,0
"131","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",20,0.56,NA,NA,"34.02225_-117.36592",0,0,0,0
"132","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",15,0.63,NA,NA,"34.02225_-117.36592",0,0,0,0
"133","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",20,0.48,NA,NA,"34.02225_-117.36592",0,0,0,0
"134","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",10,0.65,NA,NA,"34.02225_-117.36592",0,0,0,0
"135","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",11,0.5,NA,NA,"34.02225_-117.36592",0,0,0,0
"136","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",14,0.52,NA,NA,"34.02225_-117.36592",0,0,0,0
"137","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.64,NA,NA,"34.02225_-117.36592",0,0,0,0
"138","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",20,0.63,NA,NA,"34.02225_-117.36592",0,0,0,0
"139","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",18,0.61,NA,NA,"34.02225_-117.36592",0,0,0,0
"140","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",1,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"141","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",10,0.24,NA,NA,"34.02225_-117.36592",0,0,0,0
"142","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",22,0.7,NA,NA,"34.02225_-117.36592",0,0,0,0
"143","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",18,0.65,NA,NA,"34.02225_-117.36592",0,0,0,0
"144","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.36,NA,NA,"34.02225_-117.36592",0,0,0,0
"145","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.51,NA,NA,"34.02225_-117.36592",0,0,0,0
"146","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",14,0.54,NA,NA,"34.02225_-117.36592",0,0,0,0
"147","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.32,NA,NA,"34.02225_-117.36592",0,0,0,0
"148","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",14,0.43,NA,NA,"34.02225_-117.36592",0,0,0,0
"149","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.35,NA,NA,"34.02225_-117.36592",0,0,0,0
"150","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",17,0.5,NA,NA,"34.02225_-117.36592",0,0,0,0
"151","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",30,0.74,NA,NA,"34.02225_-117.36592",0,0,0,0
"152","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",21,0.75,NA,NA,"34.02225_-117.36592",0,0,0,0
"153","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",20,0.72,NA,NA,"34.02225_-117.36592",0,0,0,0
"154","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.56,NA,NA,"34.02225_-117.36592",0,0,0,0
"155","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",8,0.42,NA,NA,"34.02225_-117.36592",0,0,0,0
"156","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",4,0.14,NA,NA,"34.02225_-117.36592",0,0,0,0
"157","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",4,0.18,NA,NA,"34.02225_-117.36592",0,0,0,0
"158","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",10,0.38,NA,NA,"34.02225_-117.36592",0,0,0,0
"159","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",1,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"160","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",6,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"161","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",2,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"162","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",28,0.84,NA,NA,"34.02225_-117.36592",0,0,0,0
"163","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",28,0.89,NA,NA,"34.02225_-117.36592",0,0,0,0
"164","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",17,0.69,NA,NA,"34.02225_-117.36592",0,0,0,0
"165","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.56,NA,NA,"34.02225_-117.36592",0,0,0,0
"166","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",5,0.38,NA,NA,"34.02225_-117.36592",0,0,0,0
"167","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",2,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"168","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",5,0.43,NA,NA,"34.02225_-117.36592",0,0,0,0
"169","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",6,0.27,NA,NA,"34.02225_-117.36592",0,0,0,0
"170","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",4,0.28,NA,NA,"34.02225_-117.36592",0,0,0,0
"171","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",16,0.68,NA,NA,"34.02225_-117.36592",0,0,0,0
"172","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",14,0.73,NA,NA,"34.02225_-117.36592",0,0,0,0
"173","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.43,NA,NA,"34.02225_-117.36592",0,0,0,0
"174","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",10,0.25,NA,NA,"34.02225_-117.36592",0,0,0,0
"175","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",9,0.38,NA,NA,"34.02225_-117.36592",0,0,0,0
"176","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",10,0.46,NA,NA,"34.02225_-117.36592",0,0,0,0
"177","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",20,0.47,NA,NA,"34.02225_-117.36592",0,0,0,0
"178","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",12,0.28,NA,NA,"34.02225_-117.36592",0,0,0,0
"179","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",8,0.51,NA,NA,"34.02225_-117.36592",0,0,0,0
"180","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02225","-117.36592","9/19/2015",4,0,NA,NA,"34.02225_-117.36592",0,0,0,0
"181","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02136","-117.36619","9/19/2015",4,0,NA,NA,"34.02136_-117.36619",0,0,0,0
"182","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02136","-117.36619","9/19/2015",7,0.29,NA,NA,"34.02136_-117.36619",0,0,0,0
"183","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02136","-117.36619","9/19/2015",2,0.05,NA,NA,"34.02136_-117.36619",0,0,0,0
"184","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02136","-117.36619","9/19/2015",5,0.59,NA,NA,"34.02136_-117.36619",0,0,0,0
"185","SAR Riverside Drive to Mission Boulevard below Riverside Drive","34.02136","-117.36619","9/19/2015",12,0.63,NA,NA,"34.02136_-117.36619",0,0,0,0
