"","depth_cm","prob_fit"
"271",135,-0.0464727179468995
"272",135.5,-0.0470578989021723
"273",136,-0.0476430798574452
"274",136.5,-0.048228260812718
"275",137,-0.0488134417679909
"276",137.5,-0.0493986227232637
"277",138,-0.0499838036785366
"278",138.5,-0.0505689846338094
"279",139,-0.0511541655890823
"280",139.5,-0.0517393465443551
"281",140,-0.052324527499628
