"","Species","Life_Stage","Hydraulic","Node","Node_Class"
"53","Chub","Adult","Velocity","L01-100","Low"
"54","Chub","Adult","Velocity","L02-010","High"
"55","Chub","Adult","Velocity","L02-020","Partial"
"56","Chub","Adult","Velocity","L02-021","Partial"
"57","Chub","Adult","Velocity","L02-022","Partial"
"58","Chub","Adult","Velocity","L02-023","Partial"
"59","Chub","Adult","Velocity","L02-030","Partial"
"60","Chub","Adult","Velocity","L02-031","Partial"
"61","Chub","Adult","Velocity","L02-040","Partial"
"62","Chub","Adult","Velocity","L02-041","Low"
"63","Chub","Adult","Velocity","L02-050","Low"
"64","Chub","Adult","Velocity","L02-051","Low"
"65","Willow","Adult","StreamPower","J01-010","High"
"66","Willow","Adult","StreamPower","J01-020","High"
"67","Willow","Adult","StreamPower","J01-030","High"
"68","Willow","Adult","StreamPower","J01-031","High"
"69","Willow","Adult","StreamPower","J01-040","High"
"70","Willow","Adult","StreamPower","J01-041","High"
"71","Willow","Adult","StreamPower","J01-060","High"
"72","Willow","Adult","StreamPower","J01-061","High"
"73","Willow","Adult","StreamPower","J01-062","High"
"74","Willow","Adult","StreamPower","J01-070","High"
"75","Willow","Adult","StreamPower","J01-080","High"
"76","Willow","Adult","StreamPower","J01-090","High"
"77","Willow","Adult","StreamPower","J01-091","High"
"78","Willow","Adult","StreamPower","J01-100","High"
"79","Willow","Adult","StreamPower","J03-010","High"
"80","Willow","Adult","StreamPower","J04-010","High"
"81","Willow","Adult","StreamPower","J05-010","High"
"82","Willow","Adult","StreamPower","J07-010","High"
"83","Willow","Adult","StreamPower","L01-060","High"
"84","Willow","Adult","StreamPower","L01-080","High"
"85","Willow","Adult","StreamPower","L01-100","High"
"86","Willow","Adult","StreamPower","L02-010","High"
"87","Willow","Adult","StreamPower","L02-020","High"
"88","Willow","Adult","StreamPower","L02-021","High"
"89","Willow","Adult","StreamPower","L02-022","High"
"90","Willow","Adult","StreamPower","L02-023","High"
"91","Willow","Adult","StreamPower","L02-030","High"
"92","Willow","Adult","StreamPower","L02-031","High"
"93","Willow","Adult","StreamPower","L02-040","High"
"94","Willow","Adult","StreamPower","L02-041","High"
"95","Willow","Adult","StreamPower","L02-050","High"
"96","Willow","Adult","StreamPower","L02-051","High"
"97","Willow","Germination","Depth","J01-010","Low"
"98","Willow","Germination","Depth","J01-020","Low"
"99","Willow","Germination","Depth","J01-030","Low"
"100","Willow","Germination","Depth","J01-031","Low"
"101","Willow","Germination","Depth","J01-040","Low"
"102","Willow","Germination","Depth","J01-041","Low"
"103","Willow","Germination","Depth","J01-060","High"
"104","Willow","Germination","Depth","J01-061","Low"
"105","Willow","Germination","Depth","J01-062","Low"
"106","Willow","Germination","Depth","J01-070","Low"
"107","Willow","Germination","Depth","J01-080","Low"
"108","Willow","Germination","Depth","J01-090","Low"
"109","Willow","Germination","Depth","J01-091","Low"
"110","Willow","Germination","Depth","J01-100","Low"
"111","Willow","Germination","Depth","J03-010","High"
"112","Willow","Germination","Depth","J04-010","Low"
"113","Willow","Germination","Depth","J05-010","Low"
"114","Willow","Germination","Depth","J07-010","Low"
"115","Willow","Germination","Depth","L01-060","Low"
"116","Willow","Germination","Depth","L01-080","Low"
"117","Willow","Germination","Depth","L01-100","Low"
"118","Willow","Germination","Depth","L02-010","Low"
"119","Willow","Germination","Depth","L02-020","Low"
"120","Willow","Germination","Depth","L02-021","Low"
"121","Willow","Germination","Depth","L02-022","Low"
"122","Willow","Germination","Depth","L02-023","Low"
"123","Willow","Germination","Depth","L02-030","Low"
"124","Willow","Germination","Depth","L02-031","Low"
"125","Willow","Germination","Depth","L02-040","Low"
"126","Willow","Germination","Depth","L02-041","Low"
"127","Willow","Germination","Depth","L02-050","Low"
"128","Willow","Germination","Depth","L02-051","Low"
"129","Willow","Seedling","Depth","J01-010","High"
"130","Willow","Seedling","Depth","J01-020","High"
"131","Willow","Seedling","Depth","J01-030","High"
"132","Willow","Seedling","Depth","J01-031","High"
"133","Willow","Seedling","Depth","J01-040","High"
"134","Willow","Seedling","Depth","J01-041","High"
"135","Willow","Seedling","Depth","J01-060","High"
"136","Willow","Seedling","Depth","J01-061","High"
"137","Willow","Seedling","Depth","J01-062","High"
"138","Willow","Seedling","Depth","J01-070","High"
"139","Willow","Seedling","Depth","J01-080","High"
"140","Willow","Seedling","Depth","J01-090","High"
"141","Willow","Seedling","Depth","J01-091","High"
"142","Willow","Seedling","Depth","J01-100","High"
"143","Willow","Seedling","Depth","J03-010","High"
"144","Willow","Seedling","Depth","J04-010","High"
"145","Willow","Seedling","Depth","J05-010","High"
"146","Willow","Seedling","Depth","J07-010","High"
"147","Willow","Seedling","Depth","L01-060","High"
"148","Willow","Seedling","Depth","L01-080","High"
"149","Willow","Seedling","Depth","L01-100","High"
"150","Willow","Seedling","Depth","L02-010","High"
"151","Willow","Seedling","Depth","L02-020","High"
"152","Willow","Seedling","Depth","L02-021","High"
"153","Willow","Seedling","Depth","L02-022","High"
"154","Willow","Seedling","Depth","L02-023","High"
"155","Willow","Seedling","Depth","L02-030","High"
"156","Willow","Seedling","Depth","L02-031","High"
"157","Willow","Seedling","Depth","L02-040","High"
"158","Willow","Seedling","Depth","L02-041","High"
"159","Willow","Seedling","Depth","L02-050","High"
"160","Willow","Seedling","Depth","L02-051","High"
"161","Willow","Seedling","Shear Stress","J01-010","High"
"162","Willow","Seedling","Shear Stress","J01-020","High"
"163","Willow","Seedling","Shear Stress","J01-030","High"
"164","Willow","Seedling","Shear Stress","J01-031","High"
"165","Willow","Seedling","Shear Stress","J01-040","High"
"166","Willow","Seedling","Shear Stress","J01-041","High"
"167","Willow","Seedling","Shear Stress","J01-060","High"
"168","Willow","Seedling","Shear Stress","J01-061","High"
"169","Willow","Seedling","Shear Stress","J01-062","High"
"170","Willow","Seedling","Shear Stress","J01-070","Low"
"171","Willow","Seedling","Shear Stress","J01-080","High"
"172","Willow","Seedling","Shear Stress","J01-090","High"
"173","Willow","Seedling","Shear Stress","J01-091","High"
"174","Willow","Seedling","Shear Stress","J01-100","High"
"175","Willow","Seedling","Shear Stress","J03-010","High"
"176","Willow","Seedling","Shear Stress","J04-010","High"
"177","Willow","Seedling","Shear Stress","J05-010","High"
"178","Willow","Seedling","Shear Stress","J07-010","High"
"179","Willow","Seedling","Shear Stress","L01-060","High"
"180","Willow","Seedling","Shear Stress","L01-080","High"
"181","Willow","Seedling","Shear Stress","L01-100","High"
"182","Willow","Seedling","Shear Stress","L02-010","High"
"183","Willow","Seedling","Shear Stress","L02-020","High"
"184","Willow","Seedling","Shear Stress","L02-021","High"
"185","Willow","Seedling","Shear Stress","L02-022","High"
"186","Willow","Seedling","Shear Stress","L02-023","High"
"187","Willow","Seedling","Shear Stress","L02-030","High"
"188","Willow","Seedling","Shear Stress","L02-031","High"
"189","Willow","Seedling","Shear Stress","L02-040","High"
"190","Willow","Seedling","Shear Stress","L02-041","High"
"191","Willow","Seedling","Shear Stress","L02-050","High"
"192","Willow","Seedling","Shear Stress","L02-051","High"
